[Q14341, instrument, Q128309]
[Q22137031, instrument, Q302497]
[Q192114, instrument, Q105891]
[Q317122, instrument, Q379248]
[Q192114, instrument, Q105891]
[Q6984107, instrument, Q2145031]
[Q192114, instrument, Q105891]
[Q924232, instrument, Q302497]
[Q1375699, instrument, Q80019]
[Q22137031, instrument, Q302497]
[Q6984107, instrument, Q2145031]
[Q924232, instrument, Q302497]
[Q364868, instrument, Q8371]
[Q1492082, instrument, Q128309]
[Q493730, instrument, Q128309]
[Q1375699, instrument, Q80019]
[Q6183886, instrument, Q8343]
[Q192114, instrument, Q105891]
[Q364868, instrument, Q8371]
[Q924232, instrument, Q302497]
[Q254, instrument, Q81982]
[Q299208, instrument, Q9798]
[Q1375699, instrument, Q80019]
[Q6984107, instrument, Q2145031]
[Q364868, instrument, Q8371]
[Q1492082, instrument, Q128309]
[Q3013927, instrument, Q9798]
[Q493730, instrument, Q128309]
[Q317122, instrument, Q379248]
[Q448758, instrument, Q207691]
[Q312870, instrument, Q587027]
[Q22137031, instrument, Q302497]
[Q1375699, instrument, Q80019]
[Q364868, instrument, Q8371]
[Q7325307, instrument, Q163759]
[Q493730, instrument, Q128309]
[Q459375, instrument, Q52954]
[Q14341, instrument, Q128309]
[Q6984107, instrument, Q2145031]
[Q192114, instrument, Q105891]
[Q7325307, instrument, Q163759]
[Q1375699, instrument, Q80019]
[Q299208, instrument, Q9798]
[Q192114, instrument, Q105891]
[Q364868, instrument, Q8371]
[Q312870, instrument, Q587027]
[Q254, instrument, Q81982]
[Q192114, instrument, Q105891]
[Q459375, instrument, Q52954]
[Q192114, instrument, Q105891]
[Q317122, instrument, Q379248]
[Q1375699, instrument, Q80019]
[Q1261547, instrument, Q8343]
[Q7325307, instrument, Q163759]
[Q254, instrument, Q81982]
[Q3307638, instrument, Q510487]
[Q364868, instrument, Q8371]
[Q14341, instrument, Q128309]
[Q2234394, instrument, Q46185]
[Q68543, instrument, Q9798]
[Q1375699, instrument, Q80019]
[Q924232, instrument, Q302497]
[Q2234394, instrument, Q46185]
[Q45241, religion, Q132265]
[Q54049, religion, Q5043]
[Q79797, religion, Q683724]
[Q79797, religion, Q64842]
[Q11758, religion, Q1426400]
[Q219252, religion, Q5043]
[Q1400271, religion, Q9232]
[Q980497, religion, Q683724]
[Q16970, religion, Q5043]
[Q82339, religion, Q5043]
[Q83322, religion, Q9316]
[Q1672477, religion, Q5043]
[Q311793, religion, Q230386]
[Q15848996, religion, Q9592]
[Q12223, religion, Q137097]
[Q6583387, religion, Q302729]
[Q5149859, religion, Q1149100]
[Q54049, religion, Q5043]
[Q231582, religion, Q748]
[Q165479, religion, Q5043]
[Q1400271, religion, Q9232]
[Q5450502, religion, Q730726]
[Q940348, religion, Q483654]
[Q6122670, religion, Q5043]
[Q560707, religion, Q42504]
[Q8532, religion, Q748]
[Q40477, religion, Q5043]
[Q311793, religion, Q230386]
[Q3423470, religion, Q9232]
[Q7494639, religion, Q9316]
[Q54049, religion, Q5043]
[Q54049, religion, Q5043]
[Q7492546, religion, Q9232]
[Q23393, religion, Q5043]
[Q45241, religion, Q132265]
[Q79797, religion, Q683724]
[Q9422, religion, Q9232]
[Q3509602, religion, Q2060869]
[Q83322, religion, Q9316]
[Q8018, religion, Q5043]
[Q83426, religion, Q9601]
[Q1778761, religion, Q9232]
[Q5725742, religion, Q384121]
[Q23873, religion, Q9592]
[Q1348883, religion, Q9592]
[Q371725, religion, Q9592]
[Q7747, religion, Q60995]
[Q6583387, religion, Q302729]
[Q179248, religion, Q1841]
[Q79797, religion, Q683724]
[Q7747, religion, Q60995]
[Q23873, religion, Q9592]
[Q23393, religion, Q5043]
[Q16122481, religion, Q189570]
[Q560707, religion, Q42504]
[Q5725742, religion, Q384121]
[Q729922, religion, Q9592]
[Q23393, religion, Q5043]
[Q11758, religion, Q1426400]
[Q8018, religion, Q131165]
[Q9429, religion, Q9232]
